Class / Attribute;Name (from Notion);Type
u-layout-wrapper;u-layout-wrapper;Component
u-layout;u-layout;Component
u-layout-column-1;u-layout-column-1;Component
u-layout-column-2;u-layout-column-2;Component
u-layout-column-3;u-layout-column-3;Component
u-grid-wrapper;u-grid-wrapper;Component
u-grid;u-grid;Component
u-grid-subgrid;u-grid-subgrid;Component
u-grid-custom;u-grid-custom;Component
u-grid-autofit;u-grid-autofit;Component
u-grid-autofill;u-grid-autofill;Component
u-grid-breakout;u-grid-breakout;Component
u-content-wrapper;u-content-wrapper;Component
u-background-slot;u-background-slot;Component
u-video;u-video;Component
u-image-wrapper;u-image-wrapper;Component
u-image;u-image;Component
u-iframe-wrapper;u-iframe-wrapper;Component
u-iframe;u-iframe;Component
u-overlay;u-overlay;Component
u-eyebrow;u-eyebrow;Component
u-text;u-text;Component
u-button-wrapper;u-button-wrapper;Component
u-section;u-section;Component
u-section-spacer;u-section-spacer;Component
u-container-small;u-container-small;Component
u-container-full;u-container-full;Component
u-svg;u-svg;Component
u-path;u-path;Component
u-embed-css;u-embed-css;Component
u-embed-js;u-embed-js;Component
u-theme-inherit;u-theme-inherit;Color
u-theme-light;u-theme-light;Color
u-theme-dark;u-theme-dark;Color
u-theme-brand;u-theme-brand;Color
u-text-style-display;u-text-style-display;Typography
u-text-style-h1;u-text-style-h1;Typography
u-text-style-h2;u-text-style-h2;Typography
u-text-style-h3;u-text-style-h3;Typography
u-text-style-h4;u-text-style-h4;Typography
u-text-style-h5;u-text-style-h5;Typography
u-text-style-h6;u-text-style-h6;Typography
u-text-style-large;u-text-style-large;Typography
u-text-style-main;u-text-style-main;Typography
u-text-style-small;u-text-style-small;Typography
u-rich-text;u-rich-text;Typography
u-line-height-small;u-line-height-small;Typography
u-line-height-medium;u-line-height-medium;Typography
u-line-height-large;u-line-height-large;Typography
u-line-height-huge;u-line-height-huge;Typography
u-letter-spacing-tight;u-letter-spacing-tight;Typography
u-letter-spacing-normal;u-letter-spacing-normal;Typography
u-sr-only;u-sr-only;Typography
u-heading-accent;u-heading-accent;Typography
u-line-clamp-1;u-line-clamp-1;Typography
u-line-clamp-2;u-line-clamp-2;Typography
u-line-clamp-3;u-line-clamp-3;Typography
u-line-clamp-4;u-line-clamp-4;Typography
u-weight-regular;u-weight-regular;Typography
u-weight-medium;u-weight-medium;Typography
u-weight-bold;u-weight-bold;Typography
u-text-transform-none;u-text-transform-none;Typography
u-text-transform-uppercase;u-text-transform-uppercase;Typography
u-text-transform-capitalize;u-text-transform-capitalize;Typography
u-text-transform-lowercase;u-text-transform-lowercase;Typography
u-text-wrap-default;u-text-wrap-default;Typography
u-text-wrap-balance;u-text-wrap-balance;Typography
u-text-wrap-pretty;u-text-wrap-pretty;Typography
u-line-trim-off;u-line-trim-off;Typography
u-text-trim-off;u-text-trim-off;Typography
u-text-wrap-inherit;u-text-wrap-inherit;Typography
u-color-inherit;u-color-inherit;Color
u-color-faded;u-color-faded;Color
u-background-transparent;u-background-transparent;Color
u-background-1;u-background-1;Color
u-background-2;u-background-2;Color
u-background-skeleton;u-background-skeleton;Color
u-radius-none;u-radius-none;Sizing
u-radius-inherit;u-radius-inherit;Sizing
u-radius-small;u-radius-small;Sizing
u-radius-main;u-radius-main;Sizing
u-radius-round;u-radius-round;Sizing
u-min-height-screen;u-min-height-screen;Sizing
u-height-full;u-height-full;Sizing
u-height-auto;u-height-auto;Sizing
u-width-full;u-width-full;Sizing
u-width-auto;u-width-auto;Sizing
u-max-width-none;u-max-width-none;Sizing
u-max-width-full;u-max-width-full;Sizing
u-min-width-auto;u-min-width-auto;Sizing
u-ratio-1-1;u-ratio-1-1;Sizing
u-ratio-16-9;u-ratio-16-9;Sizing
u-ratio-3-1;u-ratio-3-1;Sizing
u-ratio-2-3;u-ratio-2-3;Sizing
u-ratio-2-1;u-ratio-2-1;Sizing
u-ratio-5-4;u-ratio-5-4;Sizing
u-ratio-4-5;u-ratio-4-5;Sizing
u-overflow-visible;u-overflow-visible;Sizing
u-overflow-hidden;u-overflow-hidden;Sizing
u-overflow-clip;u-overflow-clip;Sizing
u-overflow-x-auto;u-overflow-x-auto;Sizing
u-overflow-y-auto;u-overflow-y-auto;Sizing
u-overflow-hidden-left;u-overflow-hidden-left;Sizing
u-cover;u-cover;Sizing
u-cover-absolute;u-cover-absolute;Sizing
u-object-fit-cover;u-object-fit-cover;Sizing
u-object-fit-contain;u-object-fit-contain;Sizing
u-flex-horizontal-wrap;u-flex-horizontal-wrap;Flexbox
u-flex-horizontal-nowrap;u-flex-horizontal-nowrap;Flexbox
u-flex-vertical-wrap;u-flex-vertical-wrap;Flexbox
u-flex-vertical-nowrap;u-flex-vertical-nowrap;Flexbox
u-flex-grow;u-flex-grow;Flexbox
u-flex-shrink;u-flex-shrink;Flexbox
u-flex-noshrink;u-flex-noshrink;Flexbox
u-order-first;u-order-first;Flexbox
u-order-last;u-order-last;Flexbox
u-order-auto;u-order-auto;Flexbox
u-order-first-medium;u-order-first-medium;Flexbox
u-order-last-medium;u-order-last-medium;Flexbox
u-order-auto-medium;u-order-auto-medium;Flexbox
u-order-first-small;u-order-first-small;Flexbox
u-order-last-small;u-order-last-small;Flexbox
u-order-auto-small;u-order-auto-small;Flexbox
u-order-first-xsmall;u-order-first-xsmall;Flexbox
u-order-last-xsmall;u-order-last-xsmall;Flexbox
u-order-auto-xsmall;u-order-auto-xsmall;Flexbox
u-align-self-inherit;u-align-self-inherit;Flexbox
u-align-self-start;u-align-self-start;Flexbox
u-align-self-center;u-align-self-center;Flexbox
u-align-self-end;u-align-self-end;Flexbox
u-align-self-stretch;u-align-self-stretch;Flexbox
u-align-items-inherit;u-align-items-inherit;Flexbox
u-align-items-start;u-align-items-start;Flexbox
u-align-items-center;u-align-items-center;Flexbox
u-align-items-end;u-align-items-end;Flexbox
u-align-items-stretch;u-align-items-stretch;Flexbox
u-justify-content-inherit;u-justify-content-inherit;Flexbox
u-justify-content-start;u-justify-content-start;Flexbox
u-justify-content-center;u-justify-content-center;Flexbox
u-justify-content-end;u-justify-content-end;Flexbox
u-justify-content-between;u-justify-content-between;Flexbox
u-justify-content-around;u-justify-content-around;Flexbox
u-gap-inherit;u-gap-inherit;Spacing
u-gap-gutter;u-gap-gutter;Spacing
u-gap-0;u-gap-0;Spacing
u-gap-1;u-gap-1;Spacing
u-gap-2;u-gap-2;Spacing
u-gap-3;u-gap-3;Spacing
u-gap-4;u-gap-4;Spacing
u-gap-5;u-gap-5;Spacing
u-gap-6;u-gap-6;Spacing
u-gap-7;u-gap-7;Spacing
u-gap-8;u-gap-8;Spacing
u-gap-row-inherit;u-gap-row-inherit;Spacing
u-gap-row-gutter;u-gap-row-gutter;Spacing
u-gap-row-0;u-gap-row-0;Spacing
u-gap-row-1;u-gap-row-1;Spacing
u-gap-row-2;u-gap-row-2;Spacing
u-gap-row-3;u-gap-row-3;Spacing
u-gap-row-4;u-gap-row-4;Spacing
u-gap-row-5;u-gap-row-5;Spacing
u-gap-row-6;u-gap-row-6;Spacing
u-gap-row-7;u-gap-row-7;Spacing
u-gap-row-8;u-gap-row-8;Spacing
u-margin-trim;u-margin-trim;Spacing
u-ignore-trim;u-ignore-trim;Spacing
u-margin-top-gutter;u-margin-top-gutter;Spacing
u-margin-top-text;u-margin-top-text;Spacing
u-margin-top-auto;u-margin-top-auto;Spacing
u-margin-top-0;u-margin-top-0;Spacing
u-margin-top-1;u-margin-top-1;Spacing
u-margin-top-2;u-margin-top-2;Spacing
u-margin-top-3;u-margin-top-3;Spacing
u-margin-top-4;u-margin-top-4;Spacing
u-margin-top-5;u-margin-top-5;Spacing
u-margin-top-6;u-margin-top-6;Spacing
u-margin-top-7;u-margin-top-7;Spacing
u-margin-top-8;u-margin-top-8;Spacing
u-margin-bottom-gutter;u-margin-bottom-gutter;Spacing
u-margin-bottom-text;u-margin-bottom-text;Spacing
u-margin-bottom-auto;u-margin-bottom-auto;Spacing
u-margin-bottom-0;u-margin-bottom-0;Spacing
u-margin-bottom-1;u-margin-bottom-1;Spacing
u-margin-bottom-2;u-margin-bottom-2;Spacing
u-margin-bottom-3;u-margin-bottom-3;Spacing
u-margin-bottom-4;u-margin-bottom-4;Spacing
u-margin-bottom-5;u-margin-bottom-5;Spacing
u-margin-bottom-6;u-margin-bottom-6;Spacing
u-margin-bottom-7;u-margin-bottom-7;Spacing
u-margin-bottom-8;u-margin-bottom-8;Spacing
u-margin-inline-auto;u-margin-inline-auto;Spacing
u-padding-sitemargin;u-padding-sitemargin;Spacing
u-padding-gutter;u-padding-gutter;Spacing
u-padding-0;u-padding-0;Spacing
u-padding-1;u-padding-1;Spacing
u-padding-2;u-padding-2;Spacing
u-padding-3;u-padding-3;Spacing
u-padding-4;u-padding-4;Spacing
u-padding-5;u-padding-5;Spacing
u-padding-6;u-padding-6;Spacing
u-padding-7;u-padding-7;Spacing
u-padding-8;u-padding-8;Spacing
u-padding-small;u-padding-small;Spacing
u-padding-main;u-padding-main;Spacing
u-padding-large;u-padding-large;Spacing
u-padding-block-sitemargin;u-padding-block-sitemargin;Spacing
u-padding-block-gutter;u-padding-block-gutter;Spacing
u-padding-block-0;u-padding-block-0;Spacing
u-padding-block-1;u-padding-block-1;Spacing
u-padding-block-2;u-padding-block-2;Spacing
u-padding-block-3;u-padding-block-3;Spacing
u-padding-block-4;u-padding-block-4;Spacing
u-padding-block-5;u-padding-block-5;Spacing
u-padding-block-6;u-padding-block-6;Spacing
u-padding-block-7;u-padding-block-7;Spacing
u-padding-block-8;u-padding-block-8;Spacing
u-padding-block-small;u-padding-block-small;Spacing
u-padding-block-main;u-padding-block-main;Spacing
u-padding-block-large;u-padding-block-large;Spacing
u-padding-inline-sitemargin;u-padding-inline-sitemargin;Spacing
u-padding-inline-gutter;u-padding-inline-gutter;Spacing
u-padding-inline-0;u-padding-inline-0;Spacing
u-padding-inline-1;u-padding-inline-1;Spacing
u-padding-inline-2;u-padding-inline-2;Spacing
u-padding-inline-3;u-padding-inline-3;Spacing
u-padding-inline-4;u-padding-inline-4;Spacing
u-padding-inline-5;u-padding-inline-5;Spacing
u-padding-inline-6;u-padding-inline-6;Spacing
u-padding-inline-7;u-padding-inline-7;Spacing
u-padding-inline-8;u-padding-inline-8;Spacing
u-padding-inline-small;u-padding-inline-small;Spacing
u-padding-inline-main;u-padding-inline-main;Spacing
u-padding-inline-large;u-padding-inline-large;Spacing
u-padding-top-sitemargin;u-padding-top-sitemargin;Spacing
u-padding-top-gutter;u-padding-top-gutter;Spacing
u-padding-top-0;u-padding-top-0;Spacing
u-padding-top-1;u-padding-top-1;Spacing
u-padding-top-2;u-padding-top-2;Spacing
u-padding-top-3;u-padding-top-3;Spacing
u-padding-top-4;u-padding-top-4;Spacing
u-padding-top-5;u-padding-top-5;Spacing
u-padding-top-6;u-padding-top-6;Spacing
u-padding-top-7;u-padding-top-7;Spacing
u-padding-top-8;u-padding-top-8;Spacing
u-padding-bottom-sitemargin;u-padding-bottom-sitemargin;Spacing
u-padding-bottom-gutter;u-padding-bottom-gutter;Spacing
u-padding-bottom-0;u-padding-bottom-0;Spacing
u-padding-bottom-1;u-padding-bottom-1;Spacing
u-padding-bottom-2;u-padding-bottom-2;Spacing
u-padding-bottom-3;u-padding-bottom-3;Spacing
u-padding-bottom-4;u-padding-bottom-4;Spacing
u-padding-bottom-5;u-padding-bottom-5;Spacing
u-padding-bottom-6;u-padding-bottom-6;Spacing
u-padding-bottom-7;u-padding-bottom-7;Spacing
u-padding-bottom-8;u-padding-bottom-8;Spacing
u-padding-left-sitemargin;u-padding-left-sitemargin;Spacing
u-padding-left-gutter;u-padding-left-gutter;Spacing
u-padding-left-0;u-padding-left-0;Spacing
u-padding-left-1;u-padding-left-1;Spacing
u-padding-left-2;u-padding-left-2;Spacing
u-padding-left-3;u-padding-left-3;Spacing
u-padding-left-4;u-padding-left-4;Spacing
u-padding-left-5;u-padding-left-5;Spacing
u-padding-left-6;u-padding-left-6;Spacing
u-padding-left-7;u-padding-left-7;Spacing
u-padding-left-8;u-padding-left-8;Spacing
u-padding-right-sitemargin;u-padding-right-sitemargin;Spacing
u-padding-right-gutter;u-padding-right-gutter;Spacing
u-padding-right-0;u-padding-right-0;Spacing
u-padding-right-1;u-padding-right-1;Spacing
u-padding-right-2;u-padding-right-2;Spacing
u-padding-right-3;u-padding-right-3;Spacing
u-padding-right-4;u-padding-right-4;Spacing
u-padding-right-5;u-padding-right-5;Spacing
u-padding-right-6;u-padding-right-6;Spacing
u-padding-right-7;u-padding-right-7;Spacing
u-padding-right-8;u-padding-right-8;Spacing
u-column-span-full;u-column-span-full;Grid
u-column-span-indent;u-column-span-indent;Grid
u-column-span-1;u-column-span-1;Grid
u-column-span-2;u-column-span-2;Grid
u-column-span-3;u-column-span-3;Grid
u-column-span-4;u-column-span-4;Grid
u-column-span-5;u-column-span-5;Grid
u-column-span-6;u-column-span-6;Grid
u-column-span-7;u-column-span-7;Grid
u-column-span-8;u-column-span-8;Grid
u-column-span-9;u-column-span-9;Grid
u-column-span-10;u-column-span-10;Grid
u-column-span-11;u-column-span-11;Grid
u-column-span-12;u-column-span-12;Grid
u-column-start-auto;u-column-start-auto;Grid
u-column-start-1;u-column-start-1;Grid
u-column-start-2;u-column-start-2;Grid
u-column-start-3;u-column-start-3;Grid
u-column-start-4;u-column-start-4;Grid
u-column-start-5;u-column-start-5;Grid
u-column-start-6;u-column-start-6;Grid
u-column-start-7;u-column-start-7;Grid
u-column-start-8;u-column-start-8;Grid
u-column-start-9;u-column-start-9;Grid
u-column-start-10;u-column-start-10;Grid
u-column-start-11;u-column-start-11;Grid
u-column-start-12;u-column-start-12;Grid
u-row-start-auto;u-row-start-auto;Grid
u-row-start-1;u-row-start-1;Grid
u-row-start-2;u-row-start-2;Grid
u-row-start-3;u-row-start-3;Grid
u-row-start-4;u-row-start-4;Grid
u-row-start-5;u-row-start-5;Grid
u-row-start-6;u-row-start-6;Grid
u-row-span-1;u-row-span-1;Grid
u-row-span-2;u-row-span-2;Grid
u-row-span-3;u-row-span-3;Grid
u-row-span-4;u-row-span-4;Grid
u-row-span-5;u-row-span-5;Grid
u-row-span-6;u-row-span-6;Grid
u-display-block;u-display-block;Display
u-display-inline;u-display-inline;Display
u-display-inline-block;u-display-inline-block;Display
u-display-inline-flex;u-display-inline-flex;Display
u-display-inline-grid;u-display-inline-grid;Display
u-display-flex;u-display-flex;Display
u-display-grid;u-display-grid;Display
u-display-none;u-display-none;Display
u-display-contents;u-display-contents;Display
u-display-block-medium;u-display-block-medium;Display
u-display-grid-medium;u-display-grid-medium;Display
u-display-flex-medium;u-display-flex-medium;Display
u-display-none-medium;u-display-none-medium;Display
u-display-block-small;u-display-block-small;Display
u-display-grid-small;u-display-grid-small;Display
u-display-flex-small;u-display-flex-small;Display
u-display-none-small;u-display-none-small;Display
u-display-block-xsmall;u-display-block-xsmall;Display
u-display-grid-xsmall;u-display-grid-xsmall;Display
u-display-flex-xsmall;u-display-flex-xsmall;Display
u-display-none-xsmall;u-display-none-xsmall;Display
u-all-unset;u-all-unset;Display
u-all-unset-medium;u-all-unset-medium;Display
u-all-unset-small;u-all-unset-small;Display
u-all-unset-xsmall;u-all-unset-xsmall;Display
u-position-static;u-position-static;Position
u-position-relative;u-position-relative;Position
u-position-absolute;u-position-absolute;Position
u-position-sticky;u-position-sticky;Position
u-position-fixed;u-position-fixed;Position
u-pointer-on;u-pointer-on;Misc
u-pointer-off;u-pointer-off;Misc
u-hide-if-empty;u-hide-if-empty;Misc
u-hide-if-empty-cms;u-hide-if-empty-cms;Misc
u-zindex-negative;u-zindex-negative;Misc
u-zindex-unset;u-zindex-unset;Misc
u-zindex-0;u-zindex-0;Misc
u-zindex-1;u-zindex-1;Misc
u-zindex-2;u-zindex-2;Misc
u-zindex-3;u-zindex-3;Misc
[data-button];[data-button];Data Attribute
[data-slot];[data-slot];Data Attribute
"[data-xsmall-columns=""1"" through ""12""]";"[data-xsmall-columns=""…""]";Data Attribute
"[data-small-columns=""1"" through ""12""]";"[data-small-columns=""…""]";Data Attribute
"[data-medium-columns=""1"" through ""12""]";"[data-medium-columns=""…""]";Data Attribute
"[data-large-columns=""1"" through ""12""]";"[data-large-columns=""…""]";Data Attribute
"[data-trigger=""mobile""]";"[data-trigger]=""mobile""";Trigger Manager
"[data-trigger=""hover-other""]";"[data-trigger]=""hover-other""";Trigger Manager
"[data-trigger=""hover-if-clickable""]";"[data-trigger]=""hover-if-clickable""";Trigger Manager
"[data-trigger=""hover""]";"[data-trigger]=""hover""";Trigger Manager
"[data-trigger=""focus-other""]";"[data-trigger]=""focus-other""";Trigger Manager
"[data-trigger=""group""]";"[data-trigger]=""group""";Trigger Manager
"[data-trigger=""focus""]";"[data-trigger]=""focus""";Trigger Manager
"[data-trigger=""preview""]";"[data-trigger]=""preview""";Trigger Manager
"[data-state=""external""]";"[data-state]=""external""";State Manager
"[data-state=""expanded""]";"[data-state]=""expanded""";State Manager
"[data-state=""pressed""]";"[data-state]=""pressed""";State Manager
"[data-state=""open""]";"[data-state]=""open""";State Manager
"[data-state=""current""]";"[data-state]=""current""";State Manager
"[data-state=""checked""]";"[data-state]=""checked""";State Manager
[data-state];[data-state];State Manager
"[data-number=""1"" through ""100""]";[data-number];Data Attribute
